id,created,modified,logo,safa_id,name,acronym,website,headquarters,description,association_id,region_id
180,2025-06-09 13:30:46.734027,2025-06-09 13:30:46.734053,,XVWYM,SAFA JOZINI LFA,,,,,4,26
181,2025-06-09 13:30:46.736245,2025-06-09 13:30:46.736265,,1WKBD,SAFA MTUBATUBA LFA,,,,,4,26
182,2025-06-09 13:30:46.738450,2025-06-09 13:30:46.738469,,BATUP,SAFA THE BIG 5 FALSE BAY LFA,,,,,4,26
183,2025-06-09 13:30:46.740718,2025-06-09 13:30:46.740737,,N4SGM,SAFA UMHLABUYALINGANA LFA,,,,,4,26
184,2025-06-09 13:31:37.045648,2025-06-09 13:31:37.045727,,IA4Y4,SAFA EMDUMENI LFA,,,,,4,27
185,2025-06-09 13:31:37.051037,2025-06-09 13:31:37.051081,,DY5L3,SAFA MSINGA LFA,,,,,4,27
186,2025-06-09 13:31:37.055365,2025-06-09 13:31:37.055407,,6UYFW,SAFA NQUTHU LFA,,,,,4,27
187,2025-06-09 13:31:37.060616,2025-06-09 13:31:37.060685,,P9WRD,SAFA UMVOTI LFA,,,,,4,27
188,2025-06-09 13:33:00.565857,2025-06-09 13:33:00.565892,,BES0N,SAFA EMNAMBITHI LFA,,,,,4,28
189,2025-06-09 13:33:00.568933,2025-06-09 13:33:00.568971,,LUW2V,SAFA IMBABAZANE LFA,,,,,4,28
190,2025-06-09 13:33:00.571357,2025-06-09 13:33:00.571379,,GKU8T,SAFA INDAKA LFA,,,,,4,28
191,2025-06-09 13:33:00.573497,2025-06-09 13:33:00.573517,,50IL8,SAFA UKHAHLAMBA LFA,,,,,4,28
192,2025-06-09 13:33:00.575806,2025-06-09 13:33:00.575825,,ICJUF,SAFA UMTSHEZI LFA,,,,,4,28
193,2025-06-09 13:33:56.702938,2025-06-09 13:33:56.702980,,OW77Q,SAFA ABAQULUSI LFA,,,,,4,29
194,2025-06-09 13:33:56.705883,2025-06-09 13:33:56.705907,,GML3S,SAFA EDUMBE LFA,,,,,4,29
195,2025-06-09 13:33:56.708627,2025-06-09 13:33:56.708670,,7DLNI,SAFA NONGOMA LFA,,,,,4,29
196,2025-06-09 13:33:56.710862,2025-06-09 13:33:56.710883,,OA7PE,SAFA ULUNDI LFA,,,,,4,29
197,2025-06-09 13:33:56.713135,2025-06-09 13:33:56.713155,,41TQA,SAFA UPHONGOLO LFA,,,,,4,29
198,2025-06-09 13:40:21.522147,2025-06-09 13:40:21.522187,,5GK9A,SAFA AGANANG LFA,,,,,4,30
199,2025-06-09 13:40:21.525921,2025-06-09 13:40:21.525953,,SHPUQ,SAFA BLOUBERG LFA,,,,,4,30
200,2025-06-09 13:40:21.528331,2025-06-09 13:40:21.528354,,85QFL,SAFA LEPELLE-NKUMPI LFA,,,,,4,30
201,2025-06-09 13:40:21.530540,2025-06-09 13:40:21.530562,,VPI1Q,SAFA MOLEMOLE LFA,,,,,4,30
202,2025-06-09 13:40:21.532793,2025-06-09 13:40:21.532813,,YIJAE,SAFA POLOKWANE LFA,,,,,4,30
203,2025-06-09 13:41:10.797679,2025-06-09 13:41:10.797737,,M3A8G,SAFA BA-PHALABORWA LFA,,,,,4,31
204,2025-06-09 13:41:10.802267,2025-06-09 13:41:10.802306,,93IB2,SAFA GREATER GIYANE LFA,,,,,4,31
205,2025-06-09 13:41:10.806162,2025-06-09 13:41:10.806197,,7BZWW,SAFA GREATER LETABA LFA,,,,,4,31
206,2025-06-09 13:41:10.811716,2025-06-09 13:41:10.811760,,TDWWW,SAFA GREATER TZANEEN LFA,,,,,4,31
207,2025-06-09 13:41:10.815771,2025-06-09 13:41:10.815804,,V3ZE5,SAFA MARULENG LFA,,,,,4,31
208,2025-06-09 13:41:54.931785,2025-06-09 13:41:54.931828,,RNTGA,SAFA ELIAS MOTSOALEDI LFA,,,,,4,32
209,2025-06-09 13:41:54.935029,2025-06-09 13:41:54.935057,,9NYE2,SAFA FETAKGOMO LFA,,,,,4,32
210,2025-06-09 13:41:54.937541,2025-06-09 13:41:54.937566,,1HFMZ,SAFA GREATER MARBLE LFA,,,,,4,32
211,2025-06-09 13:41:54.940006,2025-06-09 13:41:54.940029,,XDYR7,SAFA GREATER TUBATSE LFA,,,,,4,32
212,2025-06-09 13:41:54.942747,2025-06-09 13:41:54.942775,,GFO3E,SAFA MAKHUDUTHAMAGA LFA,,,,,4,32
213,2025-06-09 13:42:49.621432,2025-06-09 13:42:49.621521,,2MFJ0,SAFA MAKHADO LFA,,,,,4,33
214,2025-06-09 13:42:49.627138,2025-06-09 13:42:49.627187,,YCOII,SAFA MUSINA LFA,,,,,4,33
